session,site,survey,density
193,BISC-W12,prey,0
196,BISC-P11a,prey,0
197,BISC-W30a,prey,0
197,BISC-W30a,prey,0
201,BISC-W60-2b,prey,0
204,Ten 2A,prey,0
204,Ten 2A,prey,0
204,Ten 2A,prey,0
205,Ten 3A,prey,0
209,Conch 6A,prey,0
210,KL-P2,prey,0
210,KL-P2,prey,0
210,KL-P2,prey,0.015625
210,KL-P2,prey,0
212,KL-P11,prey,0
212,KL-P11,prey,0
212,KL-P11,prey,0
213,KL-P13,prey,0
213,KL-P13,prey,0
215,KL-W12,prey,0
215,KL-W12,prey,0
215,KL-W12,prey,0
218,KL-P6,prey,0.015625
219,KL-P7,prey,0
224,KL-30,prey,0
224,KL-30,prey,0
224,KL-30,prey,0
225,KL-P4,prey,0
225,KL-P4,prey,0
225,KL-P4,prey,0
232,BISC-W12,prey,0.0125
234,KL-W12,prey,0.00625
242,BISC-W13,prey,0.00625
248,KL-P4,prey,0.010416667
249,KL-P5,prey,0.0125
251,KL-P7,prey,0
141,BISC-P12a,predator,0.000884173
144,BISC-W40-b,predator,0.001
144,BISC-W40-b,predator,5.00E-04
145,BISC-P11a,predator,0.000466853
147,BISC-W12,predator,0.001
147,BISC-W12,predator,5.00E-04
148,BISC-W13,predator,0.003
148,BISC-W13,predator,0.001
152,BISC-W60-6d,predator,5.00E-04
156,BISC-W60-4b,predator,5.00E-04
156,BISC-W60-4b,predator,5.00E-04
157,Dixie Ledge,predator,5.00E-04
157,Dixie Ledge,predator,5.00E-04
157,Dixie Ledge,predator,5.00E-04
160,KL-P8,predator,0.001253133
160,KL-P8,predator,0.000250627
161,KL-W7,predator,5.00E-04
163,KL-30,predator,0.000961538
164,KL-P4,predator,0.001736111
164,KL-P4,predator,0.001736111
168,KL-P11,predator,0.000835422
168,KL-P11,predator,0.001670844
169,KL-P13,predator,0.000531632
175,Ten 2A,predator,0.001
175,Ten 2A,predator,5.00E-04
176,Ten 3A,predator,5.00E-04
179,Conch 4B,predator,5.00E-04
182,KL-P2,predator,0.003898635
185,BISC-P12a,predator,0.000884173
187,BISC-W13,predator,5.00E-04
187,BISC-W13,predator,0.0015
188,BISC-W60-4b,predator,0.001
188,BISC-W60-4b,predator,0.001
188,BISC-W60-4b,predator,0.0015
193,BISC-W12,predator,5.00E-04
196,BISC-P11a,predator,0.000466853
197,BISC-W30a,predator,5.00E-04
197,BISC-W30a,predator,5.00E-04
201,BISC-W60-2b,predator,5.00E-04
204,Ten 2A,predator,5.00E-04
204,Ten 2A,predator,5.00E-04
204,Ten 2A,predator,5.00E-04
205,Ten 3A,predator,5.00E-04
209,Conch 6A,predator,5.00E-04
210,KL-P2,predator,0.003898635
210,KL-P2,predator,0.007797271
210,KL-P2,predator,0.003898635
210,KL-P2,predator,0.003898635
212,KL-P11,predator,0.000835422
212,KL-P11,predator,0.003341688
212,KL-P11,predator,0.000835422
213,KL-P13,predator,0.000531632
213,KL-P13,predator,0.000531632
215,KL-W12,predator,5.00E-04
215,KL-W12,predator,5.00E-04
215,KL-W12,predator,5.00E-04
218,KL-P6,predator,0.002506266
219,KL-P7,predator,0.000622471
224,KL-30,predator,0.000961538
224,KL-30,predator,0.001923077
224,KL-30,predator,0.000961538
225,KL-P4,predator,0
225,KL-P4,predator,0.001736111
225,KL-P4,predator,0.003472222
232,BISC-W12,predator,0
234,KL-W12,predator,0
242,BISC-W13,predator,0
248,KL-P4,predator,0
249,KL-P5,predator,0
251,KL-P7,predator,0
